Year,Age,Sex,Grade,QuitTime,radius,theta,x,y
2020,15 years old,Male,Ungraded or other grade,Not during the past 7 days but sometime during the past 30 days,1.7940494623268024,5.467707189848461,1.2298574635117718,-1.3061638843267256
2020,15 years old,Male,9th,Not during the past 6 months but sometime during the past year,2.062405086006038,4.43845538736814,-0.5579227432742296,-1.9855067240684254
2020,14 years old,Female,9th,1 to 4 years ago,1.9171398476231845,5.125211154188115,0.7691488603839314,-1.756085198933909
2020,15 years old,Male,9th,1 to 4 years ago,2.9532330042216928,0.6696290001185398,2.3154882365159914,1.833057392385833
2020,15 years old,Male,9th,Not during the past 7 days but sometime during the past 30 days,0.718565654871054,1.8331412562513791,-0.18635709911002432,0.6939795616382107
2020,15 years old,Female,9th,Not during the past 30 days but sometime during the past 6 months,1.412665019533597,3.929578530353033,-0.9963167934217556,-1.0014865473682852
2020,15 years old,Female,9th,Not during the past 7 days but sometime during the past 30 days,2.916062328708358,1.960861937976146,-1.1088300721882733,2.697019721085287
2020,15 years old,Female,9th,Not during the past 6 months but sometime during the past year,1.6432263373630123,5.235689232432094,0.8211883104514728,-1.423320959791331
2020,14 years old,Male,9th,Not during the past 6 months but sometime during the past year,0.7964587267488241,3.4213997544386627,-0.7654834347257984,-0.2199582109737038
2020,15 years old,Male,9th,1 to 4 years ago,0.557148402184248,2.9603543645390094,-0.5480230067841817,0.10042472848698782
2020,14 years old,Female,9th,Earlier today,1.4266097098821775,1.9454903716087069,-0.5221217753062757,1.3276310165407907
2020,15 years old,Female,9th,5 or more years ago,2.7617861714214085,5.844010811741903,2.4997008659179105,-1.1742906103617494
2020,14 years old,Male,9th,1 to 4 years ago,0.44739367153961207,6.208992405913159,0.44616287767505325,-0.03316299019102092
2020,16 years old,Male,10th,1 to 4 years ago,1.1331765885232017,1.5475439695323123,0.026346652578095365,1.1328702638320995
2020,16 years old,Female,10th,Not today but sometime during past 7 days,0.1821317124180496,6.1193053764655305,0.17969145901538935,-0.029714310108965625
2020,15 years old,Female,10th,Earlier today,0.9797742163296789,1.7166650953860405,-0.14241216807709714,0.9693690160965621
2020,16 years old,Female,10th,1 to 4 years ago,2.3920934529276563,2.346143407661556,-1.6743792898862733,1.708380836095774
2020,15 years old,Male,10th,Not during the past 30 days but sometime during the past 6 months,0.31935826379340143,4.595868746186377,-0.037127553176162,-0.3171927575596376
2020,15 years old,Male,10th,Not during the past 30 days but sometime during the past 6 months,2.11079326570034,6.233904556381364,2.1082306561504427,-0.10397937773125931
2020,15 years old,Female,10th,Not during the past 30 days but sometime during the past 6 months,2.9631130722351373,0.9313107156637865,1.7683348366817053,2.3776103516406217
2020,15 years old,Male,10th,1 to 4 years ago,0.3954543287167326,0.006308114461144626,0.3954464607225881,0.002494554625609103
2020,16 years old,Male,10th,Not during the past 6 months but sometime during the past year,1.9101799154886976,2.3970863771835744,-1.404789371901292,1.2943547157288768
2020,16 years old,Female,10th,1 to 4 years ago,2.366450852015987,3.5995644906407764,-2.1225905837763617,-1.046278571256774
2020,16 years old,Female,10th,Not today but sometime during past 7 days,1.6684353447984905,2.1223581080484313,-0.8742902321736942,1.421018328417521
2020,16 years old,Male,10th,Not during the past 6 months but sometime during the past year,0.6102685955120251,1.7006403273186999,-0.07901724692450737,0.6051314182528379
2020,17 years old,Female,10th,Not during the past 30 days but sometime during the past 6 months,0.49858198561705647,3.920151666189159,-0.3549535865643908,-0.35013132931361945
2020,16 years old,Female,10th,Not during the past 7 days but sometime during the past 30 days,1.5988305292790757,3.7105979569560406,-1.3469145202237398,-0.8614408491389652
2020,16 years old,Male,10th,Not during the past 6 months but sometime during the past year,2.625522922980599,2.498340300507333,-2.1008101416867158,1.5747912139972176
2020,16 years old,Female,10th,Not during the past 6 months but sometime during the past year,1.7633838820504024,5.2060851174733065,0.835639212251598,-1.5528135182380003
2020,15 years old,Male,10th,1 to 4 years ago,2.4668185379821805,2.762554662256031,-2.291726310095439,0.912789252209341
2020,17 years old,Male,11th,1 to 4 years ago,2.5393472388153895,3.58060506794472,-2.2985456979794314,-1.0793387205041758
2020,17 years old,Female,11th,Not during the past 30 days but sometime during the past 6 months,0.6892671119188889,3.5310073583896076,-0.63766266468034,-0.26167819482290516
2020,16 years old,Female,11th,Not during the past 30 days but sometime during the past 6 months,0.8307855575578287,6.1583458367602635,0.8243201088833304,-0.10344564146084967
2020,17 years old,Female,11th,Not today but sometime during past 7 days,0.5184899079846218,0.4544907020591665,0.4658552644248417,0.22761954505174278
2020,16 years old,Male,11th,1 to 4 years ago,0.2939163140254095,5.773321534906926,0.2565333927909201,-0.1434483113649744
2020,17 years old,Male,11th,1 to 4 years ago,2.6801725812023505,0.9602082602082231,1.536675257250884,2.1958948560397418
2020,17 years old,Female,11th,Not during the past 7 days but sometime during the past 30 days,2.2856433605775237,3.328263594258037,-2.2459360551918106,-0.4241895893837612
2020,17 years old,Male,11th,Not during the past 7 days but sometime during the past 30 days,0.5380277861841023,2.3119001819794716,-0.3632239912215215,0.3969158990356447
2020,17 years old,Male,11th,Not during the past 30 days but sometime during the past 6 months,1.6008374080294743,0.4567899821076953,1.4367082868868157,0.7060805232671956
2020,17 years old,Male,11th,Not during the past 7 days but sometime during the past 30 days,1.7665139673743397,4.305845119938216,-0.6985454360706179,-1.6225306994548794
2020,16 years old,Female,11th,Not during the past 30 days but sometime during the past 6 months,0.5551367591600865,3.843875157034957,-0.4237746185629834,-0.35859711938687105
2020,17 years old,Female,11th,Not today but sometime during past 7 days,1.7277675886638464,2.821417814668315,-1.6399631397198753,0.5437846456065224
2020,17 years old,Male,11th,5 or more years ago,0.19419775293208658,5.153144850767272,0.08284927034417928,-0.17563816682973218
2020,18 years old,Male,11th,5 or more years ago,1.899467335199006,2.8936980441728566,-1.8414028142772005,0.46605990286659316
2020,18 years old,Female,11th,5 or more years ago,1.419578674202785,2.7693606282204035,-1.3223629299492583,0.516294386709123
